horario_compra,horario_venda,moeda,valor_compra,valor_venda,quantidade_moeda,max_referencia,min_referencia,stoploss,stopgain,potential_loss,potential_gain,timeframe,setup,outcome,horario
2024-05-15 03:02:00.900235,2024-05-15 14:42:44,BTCUSDT,61770.0,63115.23,0.0011,61760.04,61432.01,61432.01,62995.2408,-0.5471750040472688,1.9835531811559004,1h,9.1,2.17780475959204,
,,BTCUSDT,60893.2,60424.0,0.001,61455.8,60651.5,60651.5,61884.169999999984,0.3969244513344628,1.6273902504712952,15,9.1,-0.7705293858755938,2024-08-21 19:24:37.812299
,,BTCUSDT,61042.7,60438.2,0.001,61119.8,60651.5,60651.5,62646.61999999999,0.6408628713998514,2.627537772739396,15,9.1,-0.9902904032750846,2024-08-21 19:45:17.219929
,,BTCUSDT,61042.7,60408.4,0.001,61119.8,60651.5,60651.5,62646.61999999999,0.6408628713998514,2.627537772739396,15,9.1,-1.0391086894911197,2024-08-21 19:45:20.716393
,,BTCUSDT,61042.7,60411.3,0.001,61119.8,60651.5,60651.5,62646.61999999999,0.6408628713998514,2.627537772739396,15,9.1,-1.0343579166714352,2024-08-21 19:45:22.931117
,,BTCUSDT,61042.7,,0.001,61119.8,60651.5,60651.5,62646.61999999999,0.6408628713998514,2.627537772739396,15,9.1,,2024-08-21 19:45:24.831528
